544167;1190
316801;1188
567839;871
683628;933
413151;946
761332;949
375733;936
592304;1163
892103;1012
760502;1014
695071;1053
590194;1110
98671;1021
168894;917
152304;1068
729846;938
499230;971
453872;1049
96228;1077
251209;1044
707809;920
75658;1069
647932;1015
112976;988
851490;1018
704888;1114
27738;993
108048;1111
450532;1087
527041;1079
361934;951
30155;869
115977;958
782616;1107
525671;991
303958;885
893062;1166
492674;958
202656;941
382467;921
296703;1107
241305;983
480722;1025
961074;909
195508;985
96863;1064
885594;901
895504;1178
771720;1118
35479;968
90575;1070
362386;1032
649293;1022
271964;1053
379656;1021
469235;994
792338;906
840672;1002
25520;1067
303958;903
708945;1211
763925;1085
232111;881
359075;995
918240;933
413620;791
581486;952
260110;1068
114991;985
492674;1094
392511;923
597304;1065
687507;1007
817322;1005
131009;971
370976;881
27000;1108
477781;1123
738005;1052
429189;1109
896256;897
42869;1145
402683;947
90575;964
429927;1181
335235;1064
840822;1041
480487;1045
738708;918
803674;1128
276446;1083
482967;914
502825;909
315112;1093
653260;999
923612;860
414451;938
342663;1156
347418;911
269021;984
540036;948
150103;963
718435;953
850994;1109
31741;1009
897100;1091
461601;1070
249008;788
422599;761
899101;1040
481234;1150
825602;920
480523;896
388095;1082
42759;1026
594652;1087
657227;1024
216972;1177
74942;871
213380;847
590194;1044
971518;1075
837590;942
454847;1141
965726;904
445699;1101
356031;1112
166041;798
984820;947
604863;1029
884262;1013
314973;1148
336797;1064
629629;952
35119;1066
638854;842
648991;903
460939;917
782420;944
531020;1190
95867;1030
463245;840
259825;1043
825285;1061
263139;911
884028;1039
326824;978
758673;1025
340241;1058
886677;975
959750;990
733383;954
369154;888
470527;836
657504;966
527764;824
244333;1005
148619;1040
150127;940
110388;1038
27053;1146
814216;968
234201;1089
81364;882
447844;1020
985956;905
105137;1092
178249;1019
991654;1037
667427;915
566577;860
120228;940
415025;963
699542;933
94782;888
249914;1188
212749;1160
508906;972
491796;931
612878;1007
884895;1080
767833;879
326572;937
335910;1082
126121;1076
964086;958
339266;936
369154;1120
566443;977
606387;1125
263139;972
130259;953
916208;933
735170;1021
977267;904
29015;931
371850;735
30284;1153
902747;1201
532952;1043
346526;1153
800934;985
935051;993
54337;1165
771355;809
912065;1032
66390;953
521943;739
95867;1067
950897;1086
566720;888
142545;1117
513006;929
674552;953
144136;899
517574;1026
454612;955
125487;1013
497100;987
803674;978
988395;1003
319958;1013
435318;801
421939;893
150732;1112
601661;1085
548594;815
915796;988
170602;894
360818;1073
333303;788
91224;1131
604863;1140
428576;1027
118523;933
846197;986
704653;1006
718435;1031
278775;928
760521;1035
201482;986
10451;1019
443175;927
278816;1036
303189;984
348814;1022
461272;883
784132;1039
566443;1005
485095;960
278379;943
200439;1233
397973;937
766192;969
358970;942
762946;986
681778;1039
953063;1022
623618;854
275706;1080
709814;1185
702443;1014
309096;962
41258;838
864431;948
453681;918
963006;991
933728;1012
888795;940
902852;1010
43741;954
207464;901
461674;1001
302155;1024
100160;1038
368659;891
347418;1089
589043;898
459111;968
